,ID,duration,wav,start,stop,spk_id,present_label
129397,id01879--2lyHR0JlcsI--00009_0_300,6.016,/localscratch/voxceleb1/wav/id01879/2lyHR0JlcsI/00009.wav,0,48000,id01879,True
1897660,id06952--Q-S3TV8-aNo--00096_900_1200,17.216,/localscratch/voxceleb1/wav/id06952/Q-S3TV8-aNo/00096.wav,144000,192000,id06952,True
1486396,id07376--ioQKFgoFQkA--00129_300_600,7.616,/localscratch/voxceleb1/wav/id07376/ioQKFgoFQkA/00129.wav,48000,96000,id07376,True
929069,id01418--ngZ7SgHZ3PE--00132_0_300,12.416,/localscratch/voxceleb1/wav/id01418/ngZ7SgHZ3PE/00132.wav,0,48000,id01418,True
2320896,id03631--23lH78lx7c4--00007_1200_1500,19.904,/localscratch/voxceleb1/wav/id03631/23lH78lx7c4/00007.wav,192000,240000,id03631,True
1285850,id03331--y6xn9FjYJ-o--00500_300_600,11.328,/localscratch/voxceleb1/wav/id03331/y6xn9FjYJ-o/00500.wav,48000,96000,id03331,True
507742,id04027--Aue_qhX4GUw--00055_0_300,4.096,/localscratch/voxceleb1/wav/id04027/Aue_qhX4GUw/00055.wav,0,48000,id04027,True
843816,id00755--lha6rwKD16A--00377_600_900,24.448,/localscratch/voxceleb1/wav/id00755/lha6rwKD16A/00377.wav,96000,144000,id00755,True
1914545,id10317--YOJoOULgX9I--00028_0_300,4.4400625,/localscratch/voxceleb1/wav/id10317/YOJoOULgX9I/00028.wav,0,48000,id10317,True
65017,id05289--SJ2zN1BjwY4--00202_300_600,8.384,/localscratch/voxceleb1/wav/id05289/SJ2zN1BjwY4/00202.wav,48000,96000,id05289,True
326981,id10222--5imkCa0724M--00004_0_300,5.2800625,/localscratch/voxceleb1/wav/id10222/5imkCa0724M/00004.wav,0,48000,id10222,True
888958,id03283--cLLd8SVcuzE--00237_0_300,4.416,/localscratch/voxceleb1/wav/id03283/cLLd8SVcuzE/00237.wav,0,48000,id03283,True
1362120,id05981--K3hIo0UwuWg--00009_0_300,5.184,/localscratch/voxceleb1/wav/id05981/K3hIo0UwuWg/00009.wav,0,48000,id05981,True
1898806,id05091--nSsf_tE-ryw--00263_300_600,66.368,/localscratch/voxceleb1/wav/id05091/nSsf_tE-ryw/00263.wav,48000,96000,id05091,True
659083,id01044--kkgRn5WEPa4--00320_1200_1500,26.496,/localscratch/voxceleb1/wav/id01044/kkgRn5WEPa4/00320.wav,192000,240000,id01044,True
54491,id04247--KuSBC3K1_lw--00254_300_600,11.776,/localscratch/voxceleb1/wav/id04247/KuSBC3K1_lw/00254.wav,48000,96000,id04247,True
1682166,id05998--zaWzj5q8YFc--00491_0_300,17.344,/localscratch/voxceleb1/wav/id05998/zaWzj5q8YFc/00491.wav,0,48000,id05998,True
1247157,id00548--tl7iGchs2jA--00078_0_300,6.144,/localscratch/voxceleb1/wav/id00548/tl7iGchs2jA/00078.wav,0,48000,id00548,True
523192,id02579--FgEoak20mLI--00025_300_600,6.464,/localscratch/voxceleb1/wav/id02579/FgEoak20mLI/00025.wav,48000,96000,id02579,True
1441474,id00103--gd21kXVpZK0--00160_300_600,7.168,/localscratch/voxceleb1/wav/id00103/gd21kXVpZK0/00160.wav,48000,96000,id00103,True
