,ID,duration,wav,start,stop,spk_id,label
1770953,id10974--HQCxuj-_IEI--00002_300_600,6.3600625,id10974/HQCxuj-_IEI/00002.wav,48000,96000,id10974,1.0
1879771,id11027--cnzoLtP8scQ--00002_0_300,25.9200625,id11027/cnzoLtP8scQ/00002.wav,0,48000,id11027,1.0
1356812,id10899--jEQUmGeTxAA--00002_0_300,4.6800625,id10899/jEQUmGeTxAA/00002.wav,0,48000,id10899,1.0
1642033,id11210--7xaAmL5lPFs--00016_0_300,8.5600625,id11210/7xaAmL5lPFs/00016.wav,0,48000,id11210,1.0
816212,id10561--EK-mIWZ1hWI--00012_0_300,5.0400625,id10561/EK-mIWZ1hWI/00012.wav,0,48000,id10561,1.0
954006,id10647--SVxI7VCDEMc--00001_0_300,4.2000625,id10647/SVxI7VCDEMc/00001.wav,0,48000,id10647,1.0
2184346,id10148--g7M3Kyl8sk4--00001_600_900,10.6800625,id10148/g7M3Kyl8sk4/00001.wav,96000,144000,id10148,1.0
2161040,id10507--Mfkx6CIVwf8--00001_600_900,14.8000625,id10507/Mfkx6CIVwf8/00001.wav,96000,144000,id10507,1.0
1286448,id10401--US8Uvbjt6Zg--00018_0_300,7.8000625,id10401/US8Uvbjt6Zg/00018.wav,0,48000,id10401,1.0
1470,id10020--zHAGrIElkDU--00014_0_300,12.4400625,id10020/zHAGrIElkDU/00014.wav,0,48000,id10020,1.0
1735401,id10982--7St2zN2-1v4--00005_300_600,6.2000625,id10982/7St2zN2-1v4/00005.wav,48000,96000,id10982,1.0
764644,id10687--PyQbuk7rDeE--00009_300_600,43.7600625,id10687/PyQbuk7rDeE/00009.wav,48000,96000,id10687,1.0
121384,id10703--o_f4H3CSYWI--00004_0_300,4.1200625,id10703/o_f4H3CSYWI/00004.wav,0,48000,id10703,1.0
650673,id11238--QLcySKFfEU0--00010_0_300,17.5200625,id11238/QLcySKFfEU0/00010.wav,0,48000,id11238,1.0
1965357,id10016--RREb7K-SoSQ--00024_0_300,5.6400625,id10016/RREb7K-SoSQ/00024.wav,0,48000,id10016,1.0
1566129,id10789--m4aJISs2B1Y--00004_1200_1500,23.9200625,id10789/m4aJISs2B1Y/00004.wav,192000,240000,id10789,1.0
728213,id11099--5oQYbGWLw84--00009_0_300,4.6000625,id11099/5oQYbGWLw84/00009.wav,0,48000,id11099,1.0
1058386,id10786--nqytzgB6BYA--00013_0_300,10.6400625,id10786/nqytzgB6BYA/00013.wav,0,48000,id10786,1.0
1172401,id10212--wn0q5XJqu6E--00027_600_900,10.2000625,id10212/wn0q5XJqu6E/00027.wav,96000,144000,id10212,1.0
1172907,id10540--G2W41pvvZs0--00003_600_900,10.8800625,id10540/G2W41pvvZs0/00003.wav,96000,144000,id10540,1.0
1849907,id10069--nWrEW-7n7z4--00003_0_300,4.4000625,id10069/nWrEW-7n7z4/00003.wav,0,48000,id10069,1.0
37677,id10246--BNvnSCsKngw--00009_300_600,7.2800625,id10246/BNvnSCsKngw/00009.wav,48000,96000,id10246,1.0
964098,id10722--YvRKvdS43t8--00009_1500_1800,27.4000625,id10722/YvRKvdS43t8/00009.wav,240000,288000,id10722,1.0
2120064,id10233--EZMEy2TYF-U--00004_0_300,5.6800625,id10233/EZMEy2TYF-U/00004.wav,0,48000,id10233,1.0
1448449,id10252--ti9CQnn5aZw--00014_300_600,13.0000625,id10252/ti9CQnn5aZw/00014.wav,48000,96000,id10252,1.0
1110337,id10747--NWgBnsj7Z_c--00004_0_300,5.9600625,id10747/NWgBnsj7Z_c/00004.wav,0,48000,id10747,1.0
739734,id10702--Pqvq0lV6e9A--00001_1200_1500,15.9600625,id10702/Pqvq0lV6e9A/00001.wav,192000,240000,id10702,1.0
233205,id10047--LGt7lb12NU0--00003_300_600,6.0800625,id10047/LGt7lb12NU0/00003.wav,48000,96000,id10047,1.0
1864436,id10705--1Uxz1dGRq0k--00002_0_300,6.3200625,id10705/1Uxz1dGRq0k/00002.wav,0,48000,id10705,1.0
664985,id10984--X785J_SxF9M--00001_300_600,23.5600625,id10984/X785J_SxF9M/00001.wav,48000,96000,id10984,1.0
1970349,id10592--PDfBidpJ5Jc--00006_0_300,5.1600625,id10592/PDfBidpJ5Jc/00006.wav,0,48000,id10592,1.0
2215713,id10441--NYngZJk0tLc--00016_0_300,8.3200625,id10441/NYngZJk0tLc/00016.wav,0,48000,id10441,1.0
209276,id10925--_kPJqB9s8SE--00004_900_1200,12.0000625,id10925/_kPJqB9s8SE/00004.wav,144000,192000,id10925,1.0
131711,id10724--xS_Mh-DOAI0--00013_0_300,23.0000625,id10724/xS_Mh-DOAI0/00013.wav,0,48000,id10724,1.0
1468320,id11033--eqgjocHnBTA--00002_0_300,5.7600625,id11033/eqgjocHnBTA/00002.wav,0,48000,id11033,1.0
1103030,id10560--Eh7n0CJg9aE--00009_300_600,10.4400625,id10560/Eh7n0CJg9aE/00009.wav,48000,96000,id10560,1.0
2031338,id10679--aMfPWRLKR0g--00023_300_600,9.3600625,id10679/aMfPWRLKR0g/00023.wav,48000,96000,id10679,1.0
51358,id11246--F8kg0LEuKCE--00005_0_300,4.6400625,id11246/F8kg0LEuKCE/00005.wav,0,48000,id11246,1.0
96537,id11111--G2QZRjUB_VM--00056_600_900,10.0000625,id11111/G2QZRjUB_VM/00056.wav,96000,144000,id11111,1.0
2122663,id10529--aGWlzAkouHM--00006_0_300,4.4800625,id10529/aGWlzAkouHM/00006.wav,0,48000,id10529,1.0
2206519,id11177--CMhRqPRdphM--00005_300_600,6.7200625,id11177/CMhRqPRdphM/00005.wav,48000,96000,id11177,1.0
178849,id11237--Yysv1uvZCEc--00043_0_300,6.2400625,id11237/Yysv1uvZCEc/00043.wav,0,48000,id11237,1.0
1543672,id10032--mLjtx9dP0os--00004_1200_1500,32.6400625,id10032/mLjtx9dP0os/00004.wav,192000,240000,id10032,1.0
696044,id10421--7Y2IrIhVByk--00007_600_900,18.0400625,id10421/7Y2IrIhVByk/00007.wav,96000,144000,id10421,1.0
2294629,id11004--Qq_ncaVFAMs--00089_0_300,5.0400625,id11004/Qq_ncaVFAMs/00089.wav,0,48000,id11004,1.0
1353630,id11154--ONzy815YEhA--00001_0_300,10.0400625,id11154/ONzy815YEhA/00001.wav,0,48000,id11154,1.0
1986517,id11072--kD5y0G6WaSI--00024_300_600,14.4800625,id11072/kD5y0G6WaSI/00024.wav,48000,96000,id11072,1.0
71501,id10866--NUk38DIt-r8--00014_0_300,19.6400625,id10866/NUk38DIt-r8/00014.wav,0,48000,id10866,1.0
632978,id10320--0_pw5a3Sm7o--00005_0_300,4.5200625,id10320/0_pw5a3Sm7o/00005.wav,0,48000,id10320,1.0
438221,id11108--GTZ-1kP_N2o--00001_0_300,9.8400625,id11108/GTZ-1kP_N2o/00001.wav,0,48000,id11108,1.0
115042,id10747--NWgBnsj7Z_c--00010_300_600,9.0400625,id10747/NWgBnsj7Z_c/00010.wav,48000,96000,id10747,1.0
370033,id10076--3UcVSu5Ce7Q--00005_0_300,4.0800625,id10076/3UcVSu5Ce7Q/00005.wav,0,48000,id10076,1.0
1304566,id10747--NWgBnsj7Z_c--00006_300_600,7.1200625,id10747/NWgBnsj7Z_c/00006.wav,48000,96000,id10747,1.0
1024740,id10404--q5WQ_qjuTJw--00004_0_300,5.0800625,id10404/q5WQ_qjuTJw/00004.wav,0,48000,id10404,1.0
1674840,id10317--gJ6UJ-_ZMlY--00017_1200_1500,21.3200625,id10317/gJ6UJ-_ZMlY/00017.wav,192000,240000,id10317,1.0
1669430,id10525--Jqx3F7i_yTo--00015_0_300,5.0400625,id10525/Jqx3F7i_yTo/00015.wav,0,48000,id10525,1.0
